,Year,Team,Actual_Score,Predicted_Score,Actual_Rank,Predicted_Rank
0,1998,ATL,1.0,3.2456764957697777,12,1
1,1998,LAL,4.0,3.16717573558294,4,2
2,1998,OKC,2.0,3.0801047981177527,6,3
3,1998,UTA,7.0,2.906797731849509,2,4
4,1998,PHO,1.0,2.655631523734181,15,5
5,1998,CHO,2.0,2.33718018900412,7,6
6,1998,CHI,10.0,2.190159303506745,1,7
7,1998,IND,4.0,1.7049459209117197,3,8
8,1998,CLE,1.0,1.6696163828693766,14,9
9,1998,MIN,1.0,1.6108020507887897,16,10
10,1998,BOS,0.0,1.5770750635351716,28,11
11,1998,WAS,0.0,1.4833670568223305,27,12
12,1998,HOU,1.0,1.3471936359941816,9,13
13,1998,MIA,1.0,1.327546756793991,11,14
14,1998,MEM,0.0,1.1875127529321938,23,15
15,1998,SAS,2.0,1.1382213482066037,8,16
16,1998,BRK,1.0,1.1093617171725958,10,17
17,1998,NYK,2.0,0.8018996667671505,5,18
18,1998,MIL,0.0,0.4811253965844622,26,19
19,1998,POR,1.0,0.4754987759644384,13,20
20,1998,PHI,0.0,0.4020183813293418,25,21
21,1998,SAC,0.0,0.2828374425162305,24,22
22,1998,DET,0.0,0.223788764916053,20,23
23,1998,TOR,0.0,-0.2392178821161974,22,24
24,1998,ORL,0.0,-0.2828099232307166,17,25
25,1998,LAC,0.0,-0.6297276398330132,18,26
26,1998,GSW,0.0,-0.8957611551095255,19,27
27,1998,DAL,0.0,-1.0984050221989068,21,28
28,1998,DEN,0.0,-1.5125455639848986,29,29
29,1999,ATL,2.0,2.829747025560673,5,1
30,1999,PHO,1.0,2.398972014531405,9,2
31,1999,SAS,10.0,2.2025167903859986,1,3
32,1999,UTA,2.0,2.189509408485014,6,4
33,1999,LAL,2.0,1.6306587906539036,7,5
34,1999,ORL,1.0,1.594971310477859,13,6
35,1999,HOU,1.0,1.5276569575393957,16,7
36,1999,MIL,1.0,1.448302697664512,15,8
37,1999,SAC,1.0,1.411129531101747,14,9
38,1999,DET,1.0,1.3485797796641623,12,10
39,1999,POR,4.0,1.2803594532684892,3,11
40,1999,MIN,1.0,1.124287546073116,10,12
41,1999,OKC,0.0,1.026689893554777,24,13
42,1999,CHO,0.0,0.9378552117492918,28,14
43,1999,MIA,1.0,0.7671208844805668,11,15
44,1999,PHI,2.0,0.7509926879732043,8,16
45,1999,GSW,0.0,0.732132762400294,27,17
46,1999,IND,4.0,0.5286246486789952,4,18
47,1999,TOR,0.0,0.5208346478858865,26,19
48,1999,BOS,0.0,0.515690005275939,25,20
49,1999,WAS,0.0,0.4471726633623887,22,21
50,1999,CLE,0.0,0.1009653973220339,23,22
51,1999,NYK,7.0,0.0626487181750068,2,23
52,1999,BRK,0.0,-0.1509490498519441,21,24
53,1999,DAL,0.0,-0.1587479227598818,20,25
54,1999,MEM,0.0,-0.5351283542848453,19,26
55,1999,DEN,0.0,-0.6876281952847454,18,27
56,1999,CHI,0.0,-1.147826837705746,17,28
57,1999,LAC,0.0,-1.5999225395832612,29,29
58,2000,LAL,10.0,3.17278965243582,1,1
59,2000,CHO,1.0,2.9274141206955315,12,2
60,2000,SAS,1.0,2.9009632788204787,16,3
61,2000,POR,4.0,2.8785796852133787,4,4
62,2000,ATL,0.0,2.6012256047197093,20,5
63,2000,UTA,2.0,2.391778111655876,5,6
64,2000,MIN,1.0,2.385848355989805,15,7
65,2000,PHO,2.0,2.3640255978695475,6,8
66,2000,MIA,2.0,2.080176910948793,7,9
67,2000,PHI,2.0,2.025619484055238,8,10
68,2000,SAC,1.0,1.8641721643238245,14,11
69,2000,IND,7.0,1.8236921981995893,2,12
70,2000,ORL,0.0,1.4843549928795663,17,13
71,2000,MIL,1.0,1.4454112091336344,9,14
72,2000,TOR,1.0,1.3736333888654784,13,15
73,2000,OKC,1.0,1.29300298321661,11,16
74,2000,BOS,0.0,1.2711872483528972,18,17
75,2000,HOU,0.0,1.1681106573305118,19,18
76,2000,DET,1.0,1.1028547895969685,10,19
77,2000,CLE,0.0,0.8710676086961047,21,20
78,2000,DAL,0.0,0.8702417330188106,22,21
79,2000,WAS,0.0,0.8039270851075604,23,22
80,2000,DEN,0.0,0.7606942186474814,24,23
81,2000,GSW,0.0,0.7521255614636133,25,24
82,2000,NYK,4.0,0.6066419842373811,3,25
83,2000,MEM,0.0,0.5259986936796675,26,26
84,2000,BRK,0.0,0.4907031756842195,27,27
85,2000,CHI,0.0,-0.7568195192989722,28,28
86,2000,LAC,0.0,-1.2130110467619284,29,29
87,2001,SAS,4.0,3.692688407749868,3,1
88,2001,POR,1.0,2.831336809659606,13,2
89,2001,PHI,7.0,2.6412544882655564,2,3
90,2001,LAL,10.0,2.507789715530557,1,4
91,2001,UTA,1.0,2.487269727721908,16,5
92,2001,ATL,0.0,2.4708349091926403,21,6
93,2001,CHO,2.0,2.3440266420707383,6,7
94,2001,SAC,2.0,2.3132599245656627,7,8
95,2001,MIN,1.0,2.172016401975551,15,9
96,2001,MIL,4.0,1.9602043066378023,4,10
97,2001,TOR,2.0,1.7313253721907662,8,11
98,2001,OKC,0.0,1.635626547101686,19,12
99,2001,HOU,0.0,1.5558107111562745,17,13
100,2001,DAL,2.0,1.4866107165558913,5,14
101,2001,PHO,1.0,1.4498270863009943,14,15
102,2001,DEN,0.0,1.2415605290112413,18,16
103,2001,IND,1.0,1.02992580236284,12,17
104,2001,CLE,0.0,0.9107398625137706,20,18
105,2001,NYK,1.0,0.7109097969684715,11,19
106,2001,MIA,1.0,0.640063656789619,10,20
107,2001,DET,0.0,0.5920339494999012,22,21
108,2001,LAC,0.0,0.5851236846127721,23,22
109,2001,MEM,0.0,0.569764984776141,24,23
110,2001,WAS,0.0,0.515897998777372,25,24
111,2001,GSW,0.0,0.3685858399613571,26,25
112,2001,ORL,1.0,0.3548866295757484,9,26
113,2001,BOS,0.0,-0.0210651689408656,27,27
114,2001,BRK,0.0,-0.3028021662851803,28,28
115,2001,CHI,0.0,-0.3774095092932142,29,29
116,2002,SAC,4.0,3.7902411090825696,3,1
117,2002,LAL,10.0,3.112470964485116,1,2
118,2002,SAS,2.0,2.6902906075580213,6,3
119,2002,MIN,1.0,2.427938005155329,14,4
120,2002,PHI,1.0,2.3914780444360124,16,5
121,2002,POR,1.0,2.3372185760502595,15,6
122,2002,CHO,2.0,2.298409217172116,7,7
123,2002,ATL,0.0,2.248073772438952,24,8
124,2002,UTA,1.0,2.1605909118778834,13,9
125,2002,BRK,7.0,1.9948401971926448,2,10
126,2002,OKC,1.0,1.9805406753770984,12,11
127,2002,DAL,2.0,1.94231196350856,5,12
128,2002,WAS,0.0,1.688015292078182,23,13
129,2002,MIL,0.0,1.6101840388476023,28,14
130,2002,IND,1.0,1.5610312711053238,11,15
131,2002,CLE,0.0,1.5071537769589392,27,16
132,2002,LAC,0.0,1.416923607754613,26,17
133,2002,GSW,0.0,1.2426485000967125,25,18
134,2002,DET,2.0,1.06703390739863,8,19
135,2002,TOR,1.0,1.0605389326405623,10,20
136,2002,MIA,0.0,0.9788811942777916,22,21
137,2002,PHO,0.0,0.9757808663578,17,22
138,2002,BOS,4.0,0.90594961549465,4,23
139,2002,ORL,1.0,0.9049820376669526,9,24
140,2002,MEM,0.0,0.5165867542508229,21,25
141,2002,CHI,0.0,0.2422322284879472,20,26
142,2002,HOU,0.0,0.2330856888474921,19,27
143,2002,NYK,0.0,0.0346561024998108,18,28
144,2002,DEN,0.0,-0.3032837411434036,29,29
145,2003,SAC,2.0,2.9187869179159907,7,1
146,2003,UTA,1.0,2.8418713625873675,11,2
147,2003,MIN,1.0,2.496863727151487,15,3
148,2003,SAS,10.0,2.46772306688054,1,4
149,2003,IND,1.0,2.3873636202626045,14,5
150,2003,PHI,2.0,2.2673368641991014,8,6
151,2003,ATL,0.0,2.2516963466602005,28,7
152,2003,BRK,7.0,2.1012150481499665,2,8
153,2003,LAL,2.0,2.08911753273966,6,9
154,2003,POR,1.0,1.9212250077270512,9,10
155,2003,DAL,4.0,1.7865595772294958,3,11
156,2003,GSW,0.0,1.610284958786492,27,12
157,2003,NOP,1.0,1.2688721755625312,10,13
158,2003,WAS,0.0,1.2609019842477238,26,14
159,2003,OKC,0.0,1.22185816262889,22,15
160,2003,HOU,0.0,1.160831213084482,25,16
161,2003,MIL,1.0,1.1430974752742826,12,17
162,2003,PHO,1.0,1.1365685519780373,13,18
163,2003,MEM,0.0,0.9782856891234352,24,19
164,2003,DET,4.0,0.736159090356119,4,20
165,2003,LAC,0.0,0.6392901934529676,23,21
166,2003,CHI,0.0,0.4254804459692036,18,22
167,2003,ORL,1.0,0.2998370042375446,16,23
168,2003,BOS,2.0,0.1758291732633761,5,24
169,2003,TOR,0.0,0.114860042741005,21,25
170,2003,CLE,0.0,-0.3566226823630449,20,26
171,2003,MIA,0.0,-0.4450320684313681,19,27
172,2003,NYK,0.0,-0.826640426001247,17,28
173,2003,DEN,0.0,-0.885040610061429,29,29
174,2004,SAS,2.0,3.4953209281450603,5,1
175,2004,LAL,7.0,3.09278046056262,2,2
176,2004,MIN,4.0,2.775851223943957,3,3
177,2004,DAL,1.0,2.519786542657421,15,4
178,2004,ATL,0.0,2.245052549559716,28,5
179,2004,SAC,2.0,2.145815088950229,7,6
180,2004,IND,4.0,2.104634628567259,4,7
181,2004,MEM,1.0,2.095920254814055,14,8
182,2004,DET,10.0,2.0944218839096496,1,9
183,2004,BRK,2.0,1.705234864015058,8,10
184,2004,CLE,0.0,1.670295728464401,27,11
185,2004,MIL,1.0,1.6254073440755064,13,12
186,2004,GSW,0.0,1.5418483238041067,26,13
187,2004,DEN,1.0,1.298999942587016,9,14
188,2004,POR,0.0,1.2469101919548828,23,15
189,2004,BOS,1.0,1.066988953804299,12,16
190,2004,NOP,1.0,0.7867346490119658,11,17
191,2004,MIA,2.0,0.7639926566098463,6,18
192,2004,HOU,1.0,0.7299887099979601,10,19
193,2004,PHO,0.0,0.7197800141049999,25,20
194,2004,UTA,0.0,0.6252342569375338,24,21
195,2004,NYK,1.0,0.5707946720608429,16,22
196,2004,PHI,0.0,0.5703121066768864,18,23
197,2004,OKC,0.0,0.292516695196415,22,24
198,2004,WAS,0.0,0.2802861264196272,21,25
199,2004,LAC,0.0,0.2347640527746121,17,26
200,2004,CHI,0.0,-0.0176743231585996,19,27
201,2004,ORL,0.0,-0.1385684398516417,20,28
202,2004,TOR,0.0,-0.2536613813089583,29,29
203,2005,MIA,4.0,4.226175561595051,3,1
204,2005,DAL,2.0,2.915682305672365,7,2
205,2005,SAS,10.0,2.9107455293533,1,3
206,2005,DEN,1.0,2.7128349321789686,16,4
207,2005,DET,7.0,2.5715407713811844,2,5
208,2005,PHO,4.0,2.45389196770725,4,6
209,2005,ATL,0.0,2.049381347463501,18,7
210,2005,CLE,0.0,1.867368727956408,21,8
211,2005,HOU,1.0,1.7315264368895946,14,9
212,2005,MIN,0.0,1.724183897509148,27,10
213,2005,SAC,1.0,1.710441585526422,15,11
214,2005,WAS,2.0,1.6990921939429051,8,12
215,2005,ORL,0.0,1.6290501743707042,24,13
216,2005,LAC,0.0,1.594425486871692,23,14
217,2005,MEM,1.0,1.569717422053973,9,15
218,2005,BOS,1.0,1.544624891565085,13,16
219,2005,MIL,0.0,1.1322296249368622,29,17
220,2005,POR,0.0,1.1123747277075322,28,18
221,2005,IND,2.0,0.9648064184983915,6,19
222,2005,CHO,0.0,0.9190384216536732,26,20
223,2005,TOR,0.0,0.8377463271789602,25,21
224,2005,PHI,1.0,0.8036697627014306,12,22
225,2005,LAL,0.0,0.7494392032158067,17,23
226,2005,NYK,0.0,0.6940331188298834,22,24
227,2005,OKC,2.0,0.6661150246997225,5,25
228,2005,UTA,0.0,0.5169043713391848,20,26
229,2005,GSW,0.0,0.5140882175517715,19,27
230,2005,BRK,1.0,0.4704703528328415,11,28
231,2005,CHI,1.0,0.3076474465241601,10,29
232,2005,NOP,0.0,-1.2888867628282812,30,30
233,2006,MIA,10.0,3.520213266009562,1,1
234,2006,SAS,2.0,3.099533223785792,8,2
235,2006,DET,4.0,3.072958703384524,3,3
236,2006,DAL,7.0,2.723811314150085,2,4
237,2006,CLE,2.0,2.4668121583761886,6,5
238,2006,LAC,2.0,2.2662265595376114,7,6
239,2006,MEM,1.0,2.248311523991606,13,7
240,2006,IND,1.0,2.038767597662392,14,8
241,2006,ATL,0.0,1.9576825384821788,25,9
242,2006,LAL,1.0,1.9504982322483424,15,10
243,2006,ORL,0.0,1.886030116184601,28,11
244,2006,DEN,1.0,1.868571036616918,16,12
245,2006,UTA,0.0,1.7982533570175487,17,13
246,2006,BRK,2.0,1.7310034347539631,5,14
247,2006,PHI,0.0,1.6192770789777422,29,15
248,2006,WAS,1.0,1.375345462687152,12,16
249,2006,HOU,0.0,1.358882360538198,27,17
250,2006,NOP,0.0,1.2344644735894283,26,18
251,2006,MIL,1.0,1.1364324014385383,11,19
